date,hour,avg_taxi_drivers,max_cluster_size
2023-07-29,00,190.18,14
2023-07-29,01,137.58,12
2023-07-29,02,152.83,12
2023-07-29,03,128.77,13
2023-07-29,04,136.0,16
2023-07-29,05,189.83,15
2023-07-29,06,208.02,21
2023-07-29,07,180.45,13
2023-07-29,08,213.37,15
2023-07-29,09,170.2,14
2023-07-29,10,71.93,9
2023-07-29,11,58.58,4
2023-07-29,12,53.95,5
2023-07-29,13,58.98,4
2023-07-29,14,57.33,5
2023-07-29,15,41.55,4
2023-07-29,16,43.55,5
2023-07-29,17,122.12,13
2023-07-29,18,220.52,9
2023-07-29,19,215.77,13
2023-07-29,20,210.68,13
2023-07-29,21,153.77,10
2023-07-29,22,129.48,7
2023-07-29,23,136.28,12
