minutes,taxi_count,sum
"['07.43.00', '07.44.00']","[20, 14]",2
"['07.48.00', '07.49.00']","[30, 29]",2
"['07.54.00', '07.55.00']","[18, 32]",2
"['07.57.00', '07.58.00']","[25, 25]",2
"['08.00.00', '08.01.00']","[19, 19]",2
"['09.18.00', '09.19.00', '09.20.00']","[18, 18, 25]",3
"['09.25.00', '09.26.00']","[22, 23]",2
"['10.32.00', '10.33.00']","[20, 19]",2
"['10.55.00', '10.56.00']","[18, 26]",2
"['10.58.00', '10.59.00', '11.00.00', '11.01.00']","[31, 29, 27, 30]",4
"['11.10.00', '11.11.00', '11.12.00']","[26, 23, 21]",3
"['11.14.00', '11.15.00', '11.16.00', '11.17.00', '11.18.00', '11.19.00']","[24, 32, 29, 30, 27, 24]",6
"['11.35.00', '11.36.00', '11.37.00', '11.38.00']","[25, 28, 23, 25]",4
"['11.43.00', '11.44.00']","[28, 27]",2
"['11.55.00', '11.56.00', '11.57.00', '11.58.00']","[24, 18, 33, 29]",4
"['12.05.00', '12.06.00', '12.07.00']","[24, 38, 26]",3
"['12.22.00', '12.23.00', '12.24.00', '12.25.00']","[25, 20, 21, 22]",4
"['12.32.00', '12.33.00']","[24, 26]",2
"['12.35.00', '12.36.00']","[26, 23]",2
"['12.51.00', '12.52.00']","[16, 26]",2
"['12.58.00', '12.59.00', '13.00.00', '13.01.00']","[29, 28, 26, 25]",4
"['13.07.00', '13.08.00']","[26, 31]",2
"['13.11.00', '13.12.00']","[24, 37]",2
"['13.16.00', '13.17.00']","[24, 24]",2
"['13.19.00', '13.20.00', '13.21.00', '13.22.00', '13.23.00', '13.24.00']","[33, 29, 31, 25, 23, 33]",6
"['13.45.00', '13.46.00', '13.47.00']","[20, 30, 27]",3
"['15.14.00', '15.15.00']","[30, 25]",2
"['17.23.00', '17.24.00']","[22, 16]",2
"['21.50.00', '21.51.00']","[36, 23]",2
"['23.49.00', '23.50.00']","[20, 30]",2
